OBJECT,z,rho_impact,rho_rvir,mstars,gal_type
J0226+0015,0.0,0.7027044418198899,22.495613543188192,,Star
J0226+0015,0.00156,2.344235072891053,0.05149458652314043,5.4528453396844565,Star
J0226+0015,0.134055,72.80178338510898,0.7628861723357615,8.002456310776642,
J0226+0015,0.16069,401.01532108388506,2.669768389885372,9.349331560233244,
J0226+0015,0.2282329,506.2976127092734,1.3420192965734394,10.809730010715851,SF+E
J0226+0015,0.2928785,444.42202278214114,3.998145348050907,8.71236995531474,SF
J0226+0015,0.29762,309.14792389376385,1.62674385204283,10.08836371910318,SF
J0226+0015,0.2978321,826.9812917888332,6.754440781888096,8.98820265777363,SF+E
J0226+0015,0.2995563,545.0971654923279,5.208561815551261,8.553921449769955,SF
J0226+0015,0.3185805,693.5204452277011,5.138090660922453,9.282533343544936,
J0226+0015,0.334506,354.4724239304088,2.8621745941734344,9.07269371330105,SF
J0226+0015,0.3366499,694.3174917758531,4.461258490817686,9.674234683304466,E
J0226+0015,0.3368554,689.512328801623,4.900274546903618,9.417094596203482,
J0226+0015,0.3494243,212.2003618319563,1.3936053595448132,9.63541581746436,SF+E
J0226+0015,0.3527153,994.7304909751628,8.825321481778545,8.841394403681537,SF
J0226+0015,0.3532369,505.35444712556455,4.02343906723045,9.13720433170627,SF
J0226+0015,0.3618539,263.4255934941676,1.9964694683536197,9.280870558030003,SF+E
J0226+0015,0.3651937,616.8969972288852,4.866466218011136,9.178529286613617,SF
J0226+0015,0.37163,310.04592687934013,2.182864464418826,9.486532901268058,
J0226+0015,0.3846623,641.7137871769048,2.9269081473487417,10.421137584402848,SF+E
J0226+0015,0.3887392,889.1005338544819,5.364228019279629,9.885825348414615,
J0226+0015,0.39951,1053.4785685289567,7.408768792077802,9.52454209006627,SF
J0226+0015,0.4119374,933.9334882843511,9.741215365393222,8.48459338197946,
J0226+0015,0.4566662,592.8059294947099,4.545952972802547,9.373833257207922,SF
J0226+0015,0.4739671,545.7568908827379,4.128668758356335,9.430528313640362,SF
J0226+0015,0.47494,832.3816443606624,6.390070260874366,9.394008882750274,SF
J0226+0015,0.4965645,513.8357395075559,4.244063539788182,9.231264718422011,SF
J0226+0015,0.5065837,729.7291036903762,4.627370276517686,9.899004489738964,SF+E
J0226+0015,0.5070571,395.8840402152633,3.350266222555411,9.181055735034288,SF
J0226+0015,0.509898,496.6285686647459,3.318182675567816,9.78062179913333,
J0226+0015,0.54227,876.2962675060866,4.883069765025647,10.207800981535254,E
J0226+0015,0.55535,817.5407369622186,5.561313429508037,9.787671157588983,E
J0226+0015,0.5590382,434.7785493626636,3.291606874938062,9.530827342606594,SF+E
J0226+0015,0.57759,1080.9821831987856,2.1108690071604688,11.070325851773095,
J0226+0015,0.5858657,1032.9128203099647,1.5187424344233178,11.174589154610203,
J0226+0015,0.6020756,761.3910544894826,3.697666069580788,10.487367617511476,
J0226+0015,0.6044254,278.41383191546385,1.846437085312697,9.898139074228164,
J0226+0015,0.6095467,642.5199565995863,4.729481455904309,9.657452016925994,SF
J0226+0015,0.61016,691.6589526292663,0.9450341950697315,11.205074584215396,E
J0226+0015,0.6102801,796.1630932576071,4.606129974685401,10.194599775895519,E
J0226+0015,0.6109,554.9705086340539,2.5857106114382127,10.55011807460859,E
J0226+0015,0.611,752.8164290888922,3.7539739540127584,10.454434349406705,E
J0226+0015,0.6120122,767.3981003294783,4.123813742976383,10.333096372887807,SF
J0226+0015,0.612383,385.19963335218154,1.9653556139566124,10.419867603370065,
J0226+0015,0.6127072,704.7595169532453,2.6938840728311026,10.75545393795303,E
J0226+0015,0.6134973,1143.3736419355046,3.3567655623249517,10.915888075071798,E
J0226+0015,0.6140259,707.6675312399537,4.257247190537744,10.119386091154846,SF+E
J0226+0015,0.6141225,336.74742983504535,0.633297002107553,11.092869028133585,SF+E
J0226+0015,0.6150085,783.8420788541785,1.7902060744994142,11.021436528109911,E
J0226+0015,0.6159605,441.54207869454603,0.8831696357890283,11.071004347680095,E
J0226+0015,0.6168226,387.30477468646626,2.3480855278213744,10.10595176966408,E
J0226+0015,0.6173443,1043.8566235692467,7.467394247021691,9.73475971561067,SF+E
J0226+0015,0.617775,1065.4019608147812,4.643852669051603,10.634358128234515,E
J0226+0015,0.6177964,397.4852478281068,2.22762059155664,10.261896151046885,E
J0226+0015,0.6180045,1434.4899318734538,9.579592604913,9.896162072346318,SF
J0226+0015,0.6193318,372.28759834249854,1.4247958772674412,10.757479658946382,SF+E
J0226+0015,0.6194174,1018.9776092102336,2.590004693821809,10.980636170054114,E
J0226+0015,0.619805,529.3958215783695,2.966785944684361,10.263630521961458,SF+E
J0226+0015,0.6202004,1005.6420117462386,1.1347437866766827,11.273453586733048,E
J0226+0015,0.62079,683.942413667568,4.562117569669544,9.901614511634909,SF
J0226+0015,0.6211157,592.5954707471438,3.720122148066759,10.036292201118712,SF
J0226+0015,0.621122,535.7367382331691,3.3220825859521796,10.062581515404121,SF
J0226+0015,0.6215197,819.2841342965129,6.134062279395292,9.629193974603549,SF
J0226+0015,0.6220461,745.7855943035681,3.6232267528407287,10.500311406709889,E
J0226+0015,0.6232327,954.8188426288716,6.589094601348482,9.825876085492085,SF+E
J0226+0015,0.6247905,538.7134152014472,4.157758636977828,9.558164284306272,SF+E
J0226+0015,0.6251948,1179.6822091874394,5.698154946129909,10.51056533105918,E
J0226+0015,0.62619,853.9228921550011,5.7874398762504695,9.870672026264309,SF
J0226+0015,0.6439018,1101.789238493498,9.114565372941323,9.406484491109724,SF
J0226+0015,0.6441479,1071.1006590559787,4.851444286037877,10.605399054193372,SF+E
J0226+0015,0.6583286,1119.0817467701563,10.151124592213195,9.188590989441762,SF
J0226+0015,0.6585178,797.2159248747316,2.215243662210882,10.954881240072082,E
J0226+0015,0.65897,120.39146003122826,0.7739724497815137,10.020861028013687,SF+E
J0226+0015,0.6875956,675.6510626682193,3.864004645008285,10.28142226620882,SF
J0226+0015,0.6980519,834.7807087753438,6.648163560944918,9.561828541426172,SF
J0226+0015,0.7031858,342.47757567719646,2.346764080770974,9.92230794564376,SF
J0226+0015,0.7061374,702.8481391053931,1.790925659655085,11.003527553154084,SF+E
J0226+0015,0.7074299,752.1990762255243,5.239481758142995,9.88937794645723,SF
J0226+0015,0.7122985,682.1035543288823,4.259508063104242,10.13070610830748,SF+E
