specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment ,QSO
J1555+3628_nbin3_norm.fits,1334.5323,-0.00022999999999999998,15.28,0.168,49.593,6.815,0.34,3.536,9,9,9,-121.6436,121.6436,1333.6836984368852,1334.7666964173634,6618,6654,-0.00022999999999999998,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1036.3367,0.18880999999999998,13.924000000000001,0.267,33.982,24.709,19.4,19.427,46,46,46,-51.7807,51.7807,1231.8264756861129,1232.1844716151604,3221,3233,0.18889,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1334.5323,0.18880999999999998,13.924000000000001,0.0,33.982,0.0,19.4,0.0,46,46,46,-51.7807,51.7807,1586.2723184446552,1586.7333241492518,13978,13990,0.18889,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1036.3367,0.18922,14.299000000000001,0.11900000000000001,25.741999999999997,8.469,-19.09,7.063,56,56,56,-58.2533,58.2533,1232.229755470128,1232.6325009767286,3235,3248,0.18914,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1334.5323,0.18922,14.299000000000001,0.0,25.741999999999997,0.0,-19.09,0.0,56,56,56,-58.2533,58.2533,1586.7916379840524,1587.3102695130121,13992,14006,0.18914,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,858.0918,0.36508,13.365,0.162,24.151,13.868,-14.357999999999999,8.892000000000003,99,99,99,-71.1985,71.1985,1171.1614510013462,1171.569031962054,1191,1205,0.36501999999999996,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,903.6235,0.36508,13.365,0.0,24.151,0.0,-14.357999999999999,0.0,99,99,99,-71.1985,71.1985,1233.3051188916093,1233.734326738891,3270,3285,0.36501999999999996,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,903.9616,0.36508,13.365,0.0,24.151,0.0,-14.357999999999999,0.0,99,99,99,-71.1985,71.1985,1233.7665726505002,1234.1959410902996,3286,3300,0.36501999999999996,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1036.3367,0.36508,13.365,0.0,24.151,0.0,-14.357999999999999,0.0,99,99,99,-71.1985,71.1985,1414.4379346101978,1414.9301792719027,9297,9310,0.36501999999999996,C II,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1335.7077,-0.0001,13.954,0.085,37.789,10.283,-5.559,6.898,4,4,4,-98.63,98.63,1335.1406730246829,1336.0195533763092,6667,6696,-0.00011,C II*,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,977.0201,0.18897,14.491,212255.538,39.418,22950396.929,-4.887,9019787.693,49,49,49,-126.2155,126.2155,1161.2411092546124,1162.0637789191815,859,887,0.18896,C III,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,977.0201,0.36486999999999997,13.114,0.109,14.012,6.5710000000000015,12.142000000000001,3.7439999999999998,95,95,95,-53.9383,53.9383,1333.325135538065,1333.676704110613,6606,6618,0.36491999999999997,C III,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,977.0201,0.60233,13.704,0.154,18.539,7.224,7.374,4.439,122,122,122,-43.1506,43.1506,1565.372855094438,1565.6541096917574,13408,13416,0.60237,C III,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,977.0201,0.60277,13.853,0.152,22.801,7.181,-9.047,4.52,127,127,127,-56.0958,56.0958,1565.7588068176815,1566.1244379245559,13419,13429,0.60272,C III,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1548.204,-0.00056,13.828,0.475,38.804,35.674,39.792,37.424,13,13,13,-73.9725,73.9725,1546.958832625701,1547.722857986139,12907,12927,-0.00042,C IV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1550.781,-0.00056,13.828,0.0,38.804,0.0,39.792,0.0,13,13,13,-73.9725,73.9725,1549.5337600329913,1550.2990571207683,12977,12998,-0.00042,C IV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1548.204,-0.00029,14.335999999999999,0.166,23.25,6.747000000000001,14.508,6.687,12,12,12,-136.4381,136.4381,1547.0436079209464,1548.4528095638534,12909,12947,-0.00025,C IV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1550.781,-0.00029,14.335999999999999,0.0,23.25,0.0,14.508,0.0,12,12,12,-136.4381,136.4381,1549.6186764375063,1551.0302237096937,12979,13017,-0.00025,C IV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,883.125,0.60236,12.667,0.375,23.21,31.526999999999997,-2.013,20.297,123,123,123,-62.5684,62.5684,1414.9014867133747,1415.2701131866254,9309,9319,0.60235,ClV,b,-- ,J1555+3628
